Início da Leitura : Um voo sobre as capitais brasileiras: Região Centro-Oeste
Page : 1 Time : 18/12/2022 15:21:14
Timestamp: 633926368,975	 X: 148,816445865899 Y:63,3480452830057
Timestamp: 633926380,1117	 X: 149,574322546938 Y:63,7646053669842
Timestamp: 633926393,3168	 X: 149,469544044313 Y:63,7493071919692
Timestamp: 633926402,7366	 X: 149,368882860879 Y:63,7069771167145
Timestamp: 633926413,6541	 X: 148,897971709402 Y:63,8245620825706
Timestamp: 633926425,0325	 X: 148,935842888394 Y:63,8876179113593
Timestamp: 633926441,1457	 X: 148,968049503928 Y:64,2667869665154
Timestamp: 633926446,8855	 X: 150,481266746322 Y:66,4048396412889
Timestamp: 633926473,1168	 X: 151,296364023894 Y:67,2504116961827
Timestamp: 633926480,429	 X: 152,282400109496 Y:67,3025814427032
Timestamp: 633926492,0532	 X: 152,78484671685 Y:67,9221163981643
Timestamp: 633926504,1605	 X: 153,364803116799 Y:67,8425046189893
Timestamp: 633926513,6802	 X: 154,944546248036 Y:69,8531982496936
Timestamp: 633926525,0934	 X: 154,929553348076 Y:69,8492112462076
Timestamp: 633926535,3695	 X: 155,568185927342 Y:70,866181418195
Timestamp: 633926551,0473	 X: 156,995338234396 Y:72,661634002137
Timestamp: 633926558,2874	 X: 157,433993714081 Y:73,0252828617155
Timestamp: 633926568,8873	 X: 158,356695441206 Y:73,6622307968141
Timestamp: 633926579,8789	 X: 158,695727610252 Y:73,823526194357
Timestamp: 633926591,2263	 X: 159,41571994792 Y:74,4533868616427
Timestamp: 633926602,1199	 X: 159,997938260106 Y:74,8282631551417
Timestamp: 633926613,0065	 X: 161,935637466877 Y:76,057997801336
Timestamp: 633926626,9942	 X: 163,649524351747 Y:77,660911375361
Timestamp: 633926635,1483	 X: 163,924562544573 Y:77,9343002773915
